# atmospheric parameters ATMLAY, A, B, C respectively
 0.00000000E+00  3.52712886E+05  8.98983368E+05  2.71294114E+06  1.00000000E+07
-1.81293434E+02 -9.27801230E+01  1.65357936E+00  5.97264350E-04  1.12829200E-02
 1.22377274E+03  1.14411365E+03  1.21149015E+03  9.39164960E+02  1.00000000E+00
 9.51854837E+05  8.52128985E+05  6.50135488E+05  7.07707765E+05  1.00000000E+09
# atmospheric height [m] and refractive index columns 
-9.99916778E+02  1.000330525402622E+00
-9.98916778E+02  1.000330490680096E+00
-9.97916778E+02  1.000330455961218E+00
-9.96916778E+02  1.000330421245987E+00
-9.95916778E+02  1.000330386534403E+00
-9.94916778E+02  1.000330351826466E+00
-9.93916778E+02  1.000330317122175E+00
-9.92916778E+02  1.000330282421529E+00
-9.91916778E+02  1.000330247724529E+00
-9.90916778E+02  1.000330213031174E+00
-9.89916778E+02  1.000330178341464E+00
-9.88916778E+02  1.000330143655398E+00
-9.87916778E+02  1.000330108972976E+00
-9.86916778E+02  1.000330074294197E+00
-9.85916778E+02  1.000330039619061E+00
-9.84916778E+02  1.000330004947568E+00
-9.83916778E+02  1.000329970279717E+00
-9.82916778E+02  1.000329935615509E+00
-9.81916778E+02  1.000329900954942E+00
-9.80916778E+02  1.000329866298016E+00
-9.79916778E+02  1.000329831644731E+00
-9.78916778E+02  1.000329796995086E+00
-9.77916778E+02  1.000329762349081E+00
-9.76916778E+02  1.000329727706716E+00
-9.75916778E+02  1.000329693067990E+00
-9.74916778E+02  1.000329658432903E+00
-9.73916778E+02  1.000329623801455E+00
-9.72916778E+02  1.000329589173645E+00
-9.71916778E+02  1.000329554549472E+00
-9.70916778E+02  1.000329519928937E+00
-9.69916778E+02  1.000329485312039E+00
-9.68916778E+02  1.000329450698777E+00
-9.67916778E+02  1.000329416089152E+00
-9.66916778E+02  1.000329381483162E+00
-9.65916778E+02  1.000329346880808E+00
-9.64916778E+02  1.000329312282089E+00
-9.63916778E+02  1.000329277687005E+00
-9.62916778E+02  1.000329243095554E+00
-9.61916778E+02  1.000329208507738E+00
-9.60916778E+02  1.000329173923556E+00
-9.59916778E+02  1.000329139343006E+00
-9.58916778E+02  1.000329104766089E+00
-9.57916778E+02  1.000329070192805E+00
-9.56916778E+02  1.000329035623153E+00
-9.55916778E+02  1.000329001057132E+00
-9.54916778E+02  1.000328966494743E+00
-9.53916778E+02  1.000328931935984E+00
-9.52916778E+02  1.000328897380856E+00
-9.51916778E+02  1.000328862829358E+00
-9.50916778E+02  1.000328828281490E+00
-9.49916778E+02  1.000328793737251E+00
-9.48916778E+02  1.000328759196641E+00
-9.47916778E+02  1.000328724659660E+00
-9.46916778E+02  1.000328690126306E+00
-9.45916778E+02  1.000328655596581E+00
-9.44916778E+02  1.000328621070483E+00
-9.43916778E+02  1.000328586548012E+00
-9.42916778E+02  1.000328552029168E+00
-9.41916778E+02  1.000328517513950E+00
-9.40916778E+02  1.000328483002358E+00
-9.39916778E+02  1.000328448494392E+00
-9.38916778E+02  1.000328413990050E+00
-9.37916778E+02  1.000328379489334E+00
-9.36916778E+02  1.000328344992242E+00
-9.35916778E+02  1.000328310498773E+00
-9.34916778E+02  1.000328276008929E+00
-9.33916778E+02  1.000328241522708E+00
-9.32916778E+02  1.000328207040109E+00
-9.31916778E+02  1.000328172561133E+00
-9.30916778E+02  1.000328138085780E+00
